Year,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Electric Utility Natural Gas,Woody Biomass,Electric Utility Steam Coal,Commercial Electricity,Industrial Electricity,Residential Electricity
2066,14.7552933352128,12.6220888846883,6.7719111125526,6.3074882699507,5.3779717491778,2.3997099382359,32.1883286752710,22.3901003897336,39.9530805468306
2067,14.8146005966816,12.6728219679798,6.7991300565526,6.3328405179567,5.3914355103186,2.4083932417366,32.1786520990894,22.4004680905904,39.9410697017972
2068,14.8741462370956,12.7237589672604,6.8264584040726,6.3582946665057,5.4049329780075,2.4171079656013,32.1689784319164,22.4108405921947,39.9290624675092
2069,14.9339312145926,12.7749007021479,6.8538965948478,6.3838511251755,5.4184642366291,2.4258542235239,32.1593076728776,22.4212178967697,39.9170588428810
2070,14.9939564911614,12.8262479955543,6.8814450703810,6.4095103051902,5.4320293707790,2.4346321296098,32.1496398210986,22.4316000065392,39.9050588268274
2071,15.0437408355409,12.8688349103344,6.9042934914375,6.4307917640584,5.4450858323773,2.4428635118797,32.1354842134628,22.4383779310040,39.8874884789610
2072,15.0936904785823,12.9115632261939,6.9272177759702,6.4521438836275,5.4581736765728,2.4511227240846,32.1213348385944,22.4451579034841,39.8699258673850
2073,15.1438059691258,12.9544334126260,6.9502181758682,6.4735668985121,5.4712929787969,2.4594098603163,32.1071916937490,22.4519399245984,39.8523709886930
2074,15.1940878578338,12.9974459406825,6.9732949438569,6.4950610441052,5.4844438146623,2.4677250149848,32.0930547761837,22.4587239949657,39.8348238394804
2075,15.2445366971973,13.0406012829796,6.9964483335009,6.5166265565819,5.4976262599634,2.4760682828191,32.0789240831565,22.4655101152055,39.8172844163437
2076,15.2770674445736,13.0684289903346,7.0113782521851,6.5305325700259,5.5091657213727,2.4831576550549,32.0532293659291,22.4629694386488,39.7853913933362
2077,15.3096676102305,13.0963160800202,7.0263400302445,6.5444682579046,5.5207294039937,2.4902673252765,32.0275552297689,22.4604290494231,39.7535239161420
2078,15.3423373423015,13.1242626787540,7.0413337356647,6.5584336835413,5.5323173586665,2.4973973516002,32.0019016581909,22.4578889474960,39.7216819642994
2079,15.3750767892364,13.1522689135241,7.0563594365762,6.5724289103942,5.5439296363379,2.5045477923086,31.9762686347230,22.4553491328348,39.6898655173629
2080,15.4078860998016,13.1803349115895,7.0714172012553,6.5864540020568,5.5555662880616,2.5117187058514,31.9506561429067,22.4528096054072,39.6580745549036
2081,15.4185390748196,13.1894477631274,7.0763063619291,6.5910078603529,5.5698816197820,2.5171937058097,31.9153735000925,22.4426248122207,39.6142807225341
